CAGR,Country,Internet Penetration (%),TAM,Yandex Unit,_confidence_score,_identified_obstacles,_proposed_next_steps,_summary_narrative,_synthesized_findings
Russia: 14.81% (Speaker Proxy 2025-2029); Turkey: 6.5% (IVA 2025-2031); Belarus: Not Found; Kazakhstan: Not Found,Russia; Turkey; Belarus; Kazakhstan,Russia: 90.4; Turkey: 86.5; Belarus: 86.9; Kazakhstan: 92.3,Russia: US$601.2m (Speaker Proxy 2025); Turkey: US$516.6m (Speaker Proxy 2025); Belarus: Not Found; Kazakhstan: Not Found,Alice,,,,"Yandex Alice is available in Russia, Turkey, Belarus, and Kazakhstan. Internet penetration is high (>86%). Consolidated TAM/CAGR data provided (using proxies where necessary, marked 'Not Found' where unavailable for specific countries).",
Global Proxy: 11.0% (Search Engine Market),Russia; Turkey; Belarus; Kazakhstan,Russia: 90.4; Turkey: 86.5; Belarus: 86.9; Kazakhstan: 92.3,Not Found,Ya.ru,,,,"Ya.ru is the primary search portal, mainly for Russia but also relevant for Turkey, Belarus, Kazakhstan. Specific Russian search engine market TAM/CAGR not found. Used global search engine CAGR (11.0%) as a proxy. Internet penetration data provided for relevant countries.",
Russia: Global Proxy: 6.0% (Online Event Ticketing); Belarus: Global Proxy: 6.0% (Online Event Ticketing); Kazakhstan: 15.20% (eServices Proxy 2025-2029),Russia; Belarus; Kazakhstan,Russia: 90.4; Belarus: 86.9; Kazakhstan: 92.3,"Russia: Not Found; Belarus: Not Found; Kazakhstan: US$2,036.0m by 2029 (eServices Proxy)",Yandex Afisha,,,,"Yandex Afisha operates in Russia, Belarus, Kazakhstan. Specific online event ticketing TAM/CAGR not found for Russia/Belarus; used global proxy CAGR (6.0%). Used Kazakhstan eServices market data as proxy (TAM: US$2,036m by 2029, CAGR: 15.20%). Internet penetration data provided.",
Global Proxy: 7.0%,Russia; Turkey; Belarus; Kazakhstan,Russia: 90.4; Turkey: 86.5; Belarus: 86.9; Kazakhstan: 92.3,Global Proxy: USD 73.3B (2023),Yandex Browser,,,,"Yandex Browser is used primarily in Russia, Turkey, Belarus, Kazakhstan. Specific market TAM/CAGR not found for these countries; used global browser market proxies (TAM: $73.3B 2023, CAGR: 7.0%). Internet penetration data provided.",
Russia: 8.62% (2024-2032); Kazakhstan: 9.36% (ICT Market Proxy),Russia; Kazakhstan,Russia: 90.4; Kazakhstan: 92.3,Russia: US$ 4.47B (2023); Kazakhstan: US$ 1.33M by 2033 (ICT Market Proxy),Yandex Cloud,,,,"Yandex Cloud operates primarily in Russia and Kazakhstan. Found specific cloud market data for Russia (TAM: $4.47B 2023, CAGR: 8.62%). Used Kazakhstan ICT market data as proxy (TAM: $1.33M by 2033, CAGR: 9.36%). Internet penetration data provided.",
Russia: 14.9% (Global Digital Ad Proxy); Turkey: 14.9% (Global Digital Ad Proxy); Belarus: 14.9% (Global Digital Ad Proxy); Kazakhstan: 6.22% (Digital Media Proxy 2024-2027); Uzbekistan: 14.9% (Global Digital Ad Proxy); Armenia: 14.9% (Global Digital Ad Proxy),Russia; Turkey; Belarus; Kazakhstan; Uzbekistan; Armenia,Russia: 90.4; Turkey: 86.5; Belarus: 86.9; Kazakhstan: 92.3; Uzbekistan: 89.0; Armenia: 80.0,Russia: US$10.73bn (Overall Ad Proxy 2025); Turkey: US$3.23bn (Overall Ad Proxy 2025); Belarus: Not Found; Kazakhstan: €462.40m by 2027 (Digital Media Proxy); Uzbekistan: Not Found; Armenia: Not Found,Yandex Direct,,,,"Yandex Direct operates in Russia, Turkey, Belarus, Kazakhstan, Uzbekistan, Armenia. Specific digital advertising TAM/CAGR difficult to find for most; used overall advertising or digital media proxies where available, otherwise global digital ad CAGR proxy (14.9%). TAM marked 'Not Found' for Belarus, Uzbekistan, Armenia. Internet penetration data provided for all.",
Russia: 12.2% (2024-2032); Turkey: 18.5% (2024-2032); Belarus: 8.49% (Storage Proxy 2025-2029); Kazakhstan: 2.87% (Storage Proxy 2025-2029),Russia; Turkey; Belarus; Kazakhstan,Russia: 90.4; Turkey: 86.5; Belarus: 86.9; Kazakhstan: 92.3,Russia: US$ 1.29B by 2032; Turkey: US$ 87.2M by 2032; Belarus: US$40.60m (Storage Proxy 2025); Kazakhstan: US$48.74m (Storage Proxy 2025),Yandex Disk,,,,"Yandex Disk is used primarily in Russia, Turkey, Belarus, Kazakhstan. Found specific cloud storage market data for Russia and Turkey. Used broader 'Storage' market data as proxy for Belarus and Kazakhstan. Internet penetration data provided.",
Russia: 6.30% (2024-2032); Kazakhstan: 15.62% (Grocery Proxy 2025-2029); Belarus: 11.74% (2025-2029); Armenia: 2.84% (Restaurant Proxy 2025-2028); Uzbekistan: 7.21% (Restaurant Proxy 2025-2028),Russia; Kazakhstan; Belarus; Armenia; Uzbekistan,Russia: 90.4; Kazakhstan: 92.3; Belarus: 86.9; Armenia: 80.0; Uzbekistan: 89.0,Russia: US$ 15.97B by 2032; Kazakhstan: US$1.08bn (Grocery Proxy 2025); Belarus: US$237.50m (2025); Armenia: US$5.08m by 2028 (Restaurant Proxy); Uzbekistan: US$11.73m by 2028 (Restaurant Proxy),Yandex Eats,,,,"Yandex Eats operates in Russia, Kazakhstan, Belarus, Armenia, Uzbekistan. Found specific online food delivery market data for Russia and Belarus. Used Grocery Delivery or Restaurant Delivery market data as proxies for Kazakhstan, Armenia, Uzbekistan. Internet penetration data provided for all.",
Russia: 6.15% (App Proxy 2022-2029); Turkey: 5.02% (App Proxy 2022-2029); Belarus: 7.25% (Software Proxy 2025-2029); Kazakhstan: 9.36% (ICT Proxy 2025-2030),Russia; Turkey; Belarus; Kazakhstan,Russia: 90.4; Turkey: 86.5; Belarus: 86.9; Kazakhstan: 92.3,Russia: US$1.94bn (App Proxy 2022); Turkey: US$1.10bn (App Proxy 2022); Belarus: Not Found; Kazakhstan: US$1.45bn (ICT Proxy 2025),Yandex Launcher,,,,"Yandex Launcher primarily used in Russia, Turkey, Belarus, Kazakhstan. Specific market data unavailable; used App market proxies for Russia/Turkey, Software proxy for Belarus CAGR, ICT proxy for Kazakhstan. TAM for Belarus marked 'Not Found'. Internet penetration data provided.",
Russia: 4.14% (E-mail Ad Proxy 2025-2029); Turkey: 3.25% (E-mail Ad Proxy 2025-2030); Belarus: 4.31% (IT Services Proxy 2025-2029); Kazakhstan: 0.91% (Comm. Services Proxy 2025-2029),Russia; Turkey; Belarus; Kazakhstan,Russia: 90.4; Turkey: 86.5; Belarus: 86.9; Kazakhstan: 92.3,Russia: Not Found; Turkey: Not Found; Belarus: US$691.59m by 2029 (IT Services Proxy); Kazakhstan: US$2.3bn by 2029 (Comm. Services Proxy),Yandex Mail,,,,"Yandex Mail primarily used in Russia, Turkey, Belarus, Kazakhstan. Specific email services market data unavailable; used E-mail Advertising proxies for Russia/Turkey CAGR, IT Services proxy for Belarus, Communication Services proxy for Kazakhstan. TAM marked 'Not Found' for Russia/Turkey. Internet penetration data provided.",
Global Proxy: 11.1% (2024-2029),Russia; Turkey; Belarus; Kazakhstan,Russia: 90.4; Turkey: 86.5; Belarus: 86.9; Kazakhstan: 92.3,Global Proxy: USD 28.3B (2024),Yandex Maps,,,,"Yandex Maps primarily used in Russia, Turkey, Belarus, Kazakhstan. Specific market data unavailable for these countries; used global digital map market proxies (TAM: $28.3B 2024, CAGR: 11.1%). Internet penetration data provided.",
Russia: 16.70% (2024-2032); Belarus: 8.96% (2025-2029); Kazakhstan: 17% (2024-2025),Russia; Belarus; Kazakhstan,Russia: 90.4; Belarus: 86.9; Kazakhstan: 92.3,Russia: US$ 66.4B (2023); Belarus: US$1.50bn (2025); Kazakhstan: US$1.75bn (2025),Yandex Market,,,,"Yandex Market operates primarily in Russia, Belarus, Kazakhstan. Found specific e-commerce market data for all three countries. Internet penetration data provided.",
